radeg,raerr,decdeg,decerr,number_of_Obs,Johnson_V,Verr,Johnson_B,B_err,Sloan_g,gerr,Sloan_r,r_err,Sloan_i,i_err
301.501156,0.537,45.002457,0.795,4,12.796,0.052,13.381,0.173,13.022,0.11,12.656,0.093,12.481,0.105
301.501337,0.677,44.91315,0.631,4,15.031,0.07,15.733,0.192,15.321,0.119,14.82,0.106,14.54,0.119
301.501615,0.683,44.431593,0.326,5,13.327,0.038,14.337,0.029,13.776,0.051,12.978,0.039,12.601,0.067
301.501673,0.606,44.131387,0.766,4,14.274,0.031,14.891,0.053,14.465,0.026,14.202,0.078,14.078,-0
301.501719,0.578,44.452235,0.338,4,14.256,0.045,14.924,0.04,14.536,0.046,14.04,0.05,13.826,0.078
301.501736,0.361,43.806886,0.371,5,12.677,0.032,13.164,0.036,12.867,0.04,12.578,0.036,12.495,0.011
301.502287,0.943,45.321265,0.495,3,15.332,0.145,16.438,0.081,15.802,0.043,15.066,0.11,14.689,0.016
301.502291,0.765,43.509657,0.465,4,15.328,0.022,16.42,0.055,15.821,0.049,15.053,0.027,14.807,0.072
301.50251,0.31,45.154644,0.74,3,15.065,0.034,16.048,0.025,15.509,0.041,14.868,0.025,14.626,-0
301.502718,0.509,44.611824,0.869,4,15.781,0.057,16.671,0.048,16.21,0.064,15.468,0.05,15.208,-0
301.502847,0.523,43.969283,0.445,4,14.374,0.031,15.04,0.045,14.658,0.031,14.239,0.035,14.073,0.015
301.502956,0.677,44.812284,0.431,5,13.661,0.067,14.16,0.058,13.861,0.055,13.476,0.057,13.325,0.029
301.503072,0.527,43.844121,0.329,4,14.754,0.026,15.542,0.048,15.084,0.043,14.538,0.066,14.455,0.116
301.503207,0.909,45.427288,0.412,4,15.602,0.098,16.61,0.026,16.111,0.008,15.339,0.012,14.961,-0
301.503291,0.873,44.940084,0.829,3,15.996,0.097,17.054,0.152,16.585,0.065,15.75,0.092,15.475,0.08
