,REFNumber,X_IMAGE,Y_IMAGE,MAG_ISO,ra,dec,magcal_iso,magcal_iso_rms,magcal_local,magcal_local_rms,ExposureDate,FLUX_ISO,MAG_APER,MAG_AUTO,KRON_RADIUS,BACKGROUND,FLUX_MAX,THETA_J2000,ELLIPTICITY,ISOAREA_WORLD,FWHM_IMAGE,FWHM_WORLD,plate_dist,Blendedmag,limiting_mag_local,magcal_local_error,dradRMS2,magcor_local,extinction,gsc_bin_index,series,plateNumber,NUMBER,versionId,AFLAGS,BFLAGS,ISO0,ISO1,ISO2,ISO3,ISO4,ISO5,ISO6,ISO7,npoints_local,rejectFlag,local_bin_index,seriesId,exposureNumber,solutionNumber,spatial_bin,mosaicNumber,quality,plateVersionId,magdep_bin,magcal_magdep,magcal_magdep_rms,ra_2,dec_2,RaPM,DecPM,A2FLAGS,B2FLAGS,timeAccuracy,maskIndex,isodate,decimalyear
32,420061551442725,4501.999,4619.0509999999995,-12.7467,301.56482400000004,44.457305,13.051174000000001,0.17809,12.370714999999999,0.106189,2413436.63928,125506.0,-10.8931,-12.8209,3.5,6036.845,1158.647,53.48,0.316,4.8e-05,15.98,0.007946,3.7952,0.0,12.945284,0.181623,0.841973,0.235343,0.406,143663284,i,13301,113767,103,128,1349453824,192,182,164,142,117,93,67,44,59,0,512,19,0,0,6,1,17,103,845,12.414163,0.122805,301.564927,44.457151,-11.6,-10.0,0,0,0.0007,0,1895-08-31 03:20:33.792,1895.6633952876707
33,420061551442725,4745.418,4845.973,-12.3713,301.564446,44.457452,12.83312,0.14819000000000002,12.373021000000001,0.120368,2413436.65694,88825.66,-10.9997,-12.4876,3.96,3933.447,1375.8229999999999,21.94,0.145,2.9999999999999997e-05,12.72,0.006324000000000001,3.6348,0.0,13.508187,0.179978,1.453496,0.012062999999999999,0.414,143663284,i,13302,95122,103,128,1349451776,120,115,101,82,66,51,27,11,91,0,563,19,0,0,5,0,17,103,859,12.373021000000001,99.0,301.564927,44.457151,-11.6,-10.0,0,0,0.0007,0,1895-08-31 03:45:59.616,1895.6634436712332
35,420061551442725,1889.0910000000001,30939.584,-15.1063,301.56494399999997,44.457204,12.600289,0.16408699999999998,12.190643,0.11429500000000001,2413438.614588,1102826.0,-13.777999999999999,-15.1461,3.5,4308.645,2515.4829999999997,-40.67,0.44,2.8999999999999997e-05,40.1,0.007278,3.2991,0.0,14.286814999999999,0.087049,0.7772319999999999,0.052334000000000006,0.401,143663284,a,1635,629400,98,0,1349453824,892,847,774,670,544,397,248,103,90,0,2003,1,0,0,8,0,0,98,305,12.208015,0.07291,301.564927,44.457151,-11.6,-10.0,0,0,0.0075,0,1895-09-02 02:45:00.403,1895.6688070904106
36,420061551442725,4363.81,15253.688,-12.8516,301.564837,44.456982,12.781419,0.224994,12.133231,0.130651,2413438.624443,138239.5,-11.4966,-12.9532,3.5,4485.654,1860.484,-0.41,0.149,4.3e-05,9.35,0.004651,3.0354,0.0,13.501812,0.133706,1.462359,0.20658,0.40299999999999997,143663284,i,13317,660306,98,128,1349451776,167,143,125,107,87,63,45,24,44,0,1712,19,0,0,4,0,1,98,1087,12.133231,99.0,301.564927,44.457151,-11.6,-10.0,0,0,0.0007,0,1895-09-02 02:59:11.875,1895.6688340904116
40,420061551442725,21903.047000000002,2785.62,-13.3578,301.564977,44.45743,12.583653,0.171557,12.163527,0.110741,2413450.5813619997,220347.8,-12.623,-13.4355,3.5,4246.478,1229.638,-66.76,0.5489999999999999,1.4000000000000001e-05,30.54,0.005543,3.1788,0.0,12.649939,0.0836,0.579154,0.004378,0.4,143663284,a,1670,153691,98,8192,1349386240,405,380,330,270,196,137,60,27,41,0,184,1,0,0,8,0,0,98,-1,12.163527,99.0,301.564927,44.457151,-11.6,-10.0,0,0,0.0075,0,1895-09-14 01:57:09.677,1895.701592772602
41,420061551442725,4344.639,5080.495,-12.6251,301.564404,44.457209000000006,12.774764,0.166231,12.222299000000001,0.11710899999999999,2413468.526551,112207.7,-10.9558,-12.7281,3.5,5065.321,1163.057,57.71,0.389,4.2e-05,17.93,0.008916,3.6522,0.0,13.973517000000001,0.128184,1.419327,0.11080899999999999,0.4,143663284,i,13578,173171,103,128,1349451776,168,160,148,120,105,82,63,29,30,0,562,19,0,0,5,1,17,103,460,12.222299000000001,99.0,301.564927,44.457151,-11.6,-10.0,0,0,0.0007,0,1895-10-02 00:38:14.006,1895.7507576739722
42,420061551442725,4753.3240000000005,5358.156999999999,-11.8516,301.564818,44.457211,12.685838,0.207096,12.221613,0.131298,2413503.532722,55036.2,-10.6451,-12.1318,3.5,3194.02,1229.305,51.11,0.307,2.1e-05,16.15,0.008033,3.4205,0.0,12.767408,0.133733,1.6396439999999999,-0.031223,0.467,143663284,i,13780,105111,103,128,1349451776,81,73,64,51,31,20,9,3,32,0,613,19,0,0,5,0,17,103,460,12.221613,99.0,301.56492599999996,44.45715,-11.6,-10.0,0,0,0.0007,0,1895-11-06 00:47:07.181,1895.846664991781
43,420061551442725,6353.501,3540.282,-13.591,301.565225,44.457121,13.192316,0.136439,12.512119,0.104118,2413614.909871,273149.7,-11.3609,-13.539000000000001,3.5,3779.302,1767.317,69.18,0.514,8e-05,26.99,0.013415,3.8906,0.0,14.106876999999999,0.193481,1.1226639999999999,0.012189,0.604,143663284,i,14520,114835,103,128,1349453824,324,316,279,231,198,153,114,59,70,0,418,19,0,0,6,0,1,103,823,12.457180000000001,0.0928,301.564925,44.457149,-11.6,-10.0,0,0,0.0007,0,1896-02-25 09:50:12.854,1896.1513930901635
44,420061551442725,6155.562,3568.414,-13.5033,301.56495,44.457389,13.081767999999999,0.201325,12.520723,0.143093,2413643.810193,251944.6,-11.3691,-13.5761,3.5,4290.826,1823.533,52.72,0.061,6.4e-05,16.14,0.008029000000000001,3.9032,0.0,13.218955,0.276581,1.7805490000000002,-0.146991,0.674,143663284,i,14711,112805,103,128,1349453824,256,234,201,170,142,114,74,15,65,0,417,19,0,0,6,2,1,103,823,12.428349,0.138742,301.564924,44.457149,-11.6,-10.0,0,0,0.0007,0,1896-03-25 07:26:40.675,1896.230355718579
47,420061551442725,8998.521999999999,5518.838000000001,-12.9688,301.564932,44.457371,12.749188,0.132927,12.323436000000001,0.091054,2413769.67089,154001.5,-11.6753,-13.0634,3.5,3719.342,2548.342,86.1,0.354,2.8000000000000003e-05,11.87,0.0059039999999999995,2.7222,0.0,14.240909,0.119176,1.186774,0.040976,0.39899999999999997,143663284,i,15539,90215,98,128,1349451776,112,108,98,84,74,58,34,12,55,0,625,19,0,0,3,0,17,98,465,12.323436000000001,99.0,301.564923,44.457148,-11.6,-10.0,0,0,0.0007,0,1896-07-29 04:06:04.896,1896.574237404372
